#,Název Nástroje,Kategorie,Fiktivní Inventární Kód,Cena Sterilizace (Kč/Použití Fikt.),UDI DataMatrix Kód (GS1 Formát)
59,Dětské retraktor (speciální),Pediatrie,R-PE-0059,22.0,(01)08591712245824(10)PP001225(21)251129100547
60,Oční zavaděč vlákna,Oftalmologie,R-OF-0060,28.0,(01)08591712245824(10)PP001225(21)251129100647
61,Sada na augmentaci prsou (retraktory),Plastická Chirurgie,R-PL-0061,45.0,(01)08591712245824(10)PP001225(21)251129100747
62,Kanyla pro liposukci (opakov. použ.),Plastická Chirurgie,R-PL-0062,39.0,(01)08591712245824(10)PP001225(21)251129100847
63,Nůžky na obvazy (kovové),Všeobecná Chirurgie,R-CH-0063,11.5,(01)08591712245824(10)PP001225(21)251129100947
64,Rozvěrač úst (opakov. použ.),Všeobecná Chirurgie,R-CH-0064,19.0,(01)08591712245824(10)PP001225(21)251129101047
65,Pinzeta pro žlučník (Allis),Všeobecná Chirurgie,R-CH-0065,16.0,(01)08591712245824(10)PP001225(21)251129101147
66,Kladívko a dláto (ortopedické),Ortopedie/Trauma,R-OT-0066,32.0,(01)08591712245824(10)PP001225(21)251129101247
67,Měřidlo na kosti (kovové),Ortopedie/Trauma,R-OT-0067,25.5,(01)08591712245824(10)PP001225(21)251129101347
68,Ortopedický šroubovák (různé velikosti),Ortopedie/Trauma,R-OT-0068,40.0,(01)08591712245824(10)PP001225(21)251129101447
69,Monopolární rukojeť,Diatermie,R-DI-0069,15.0,(01)08591712245824(10)PP001225(21)251129101547
70,"Cévní pinzeta (jemná, rovná)",Cévní Chirurgie,R-CV-0070,20.0,(01)08591712245824(10)PP001225(21)251129101647
71,Pistole na klipy (opakovaně použ.),Všeobecná Chirurgie,R-CH-0071,35.0,(01)08591712245824(10)PP001225(21)251129101747
72,Kranotom (ruční),Neurochirurgie,R-NC-0072,41.0,(01)08591712245824(10)PP001225(21)251129101847
73,Šroubovákový set (mikrochirurgie),Neurochirurgie,R-NC-0073,55.0,(01)08591712245824(10)PP001225(21)251129101947
74,Zavaděč drátu (kardiologie),Kardiologie,R-KA-0074,28.5,(01)08591712245824(10)PP001225(21)251129102047
75,Atraumatická pinzeta (velká),Kardiologie,R-KA-0075,22.0,(01)08591712245824(10)PP001225(21)251129102147
76,Vaginální zrcadlo (velké),Gynekologie,R-GY-0076,21.0,(01)08591712245824(10)PP001225(21)251129102247
77,Kolposkopická pinzeta,Gynekologie,R-GY-0077,25.0,(01)08591712245824(10)PP001225(21)251129102347
78,Laparoskopický držák elektrod,Laparoskopie,R-LA-0078,39.5,(01)08591712245824(10)PP001225(21)251129102447
79,Laparoskopické kleště (bioptické),Laparoskopie,R-LA-0079,48.0,(01)08591712245824(10)PP001225(21)251129102547
80,Rigidní endoskop (optika 30°),Endoskopie,R-EN-0080,56.0,(01)08591712245824(10)PP001225(21)251129102647
81,Endoskopický štětec na čištění,Endoskopie,R-EN-0081,22.0,(01)08591712245824(10)PP001225(21)251129102747
82,ORL tamponáda (kovová rukojeť),ORL,R-ORL-0082,15.0,(01)08591712245824(10)PP001225(21)251129102847
83,Nosní klieště,ORL,R-ORL-0083,20.5,(01)08591712245824(10)PP001225(21)251129102947
84,Urologická sonda (kovová),Urologie,R-UR-0084,24.0,(01)08591712245824(10)PP001225(21)251129103047
85,Urologický retraktor,Urologie,R-UR-0085,30.0,(01)08591712245824(10)PP001225(21)251129103147
86,Dětská kostní lžička,Pediatrie,R-PE-0086,21.0,(01)08591712245824(10)PP001225(21)251129103247
87,Oční pinzeta (rovná),Oftalmologie,R-OF-0087,26.0,(01)08591712245824(10)PP001225(21)251129103347
88,Měřidlo pro implantáty (Plastická chirurgie),Plastická Chirurgie,R-PL-0088,32.5,(01)08591712245824(10)PP001225(21)251129103447
89,Hák na tkáně (dvouhrotý),Plastická Chirurgie,R-PL-0089,18.0,(01)08591712245824(10)PP001225(21)251129103547
90,Hák Farabeuf (velký),Všeobecná Chirurgie,R-CH-0090,17.5,(01)08591712245824(10)PP001225(21)251129103647
91,Nůžky na dráty,Všeobecná Chirurgie,R-CH-0091,19.5,(01)08591712245824(10)PP001225(21)251129103747
92,Kocher (svorka s ozubením),Všeobecná Chirurgie,R-CH-0092,16.0,(01)08591712245824(10)PP001225(21)251129103847
93,"Odsávací koncovka (zahnutá, opak. použ.)",Odsávání,R-CH-0093,14.5,(01)08591712245824(10)PP001225(21)251129103947
94,Klíč na kosti (ortopedický),Ortopedie/Trauma,R-OT-0094,36.0,(01)08591712245824(10)PP001225(21)251129104047
95,Kleště na tělíska,Ortopedie/Trauma,R-OT-0095,31.0,(01)08591712245824(10)PP001225(21)251129104147
96,Bipolární kabel (dlouhý),Diatermie,R-DI-0096,21.0,(01)08591712245824(10)PP001225(21)251129104247
97,Cévní nůžky (speciální),Cévní Chirurgie,R-CV-0097,24.0,(01)08591712245824(10)PP001225(21)251129104347
98,Perikardiální disektor,Kardiologie,R-KA-0098,26.5,(01)08591712245824(10)PP001225(21)251129104447
99,Laparoskopický klipovač (na klip),Laparoskopie,R-LA-0099,43.5,(01)08591712245824(10)PP001225(21)251129104547
100,Urologický Resektoskop,Urologie,R-UR-0100,65.0,(01)08591712245824(10)PP001225(21)251129104647
