Název Nástroje / Materiálu,Kategorie,Kód EAN-13 ,Cena za Kus (Kč Fiktivní)
Injekční stříkačka 10 ml,Injekční technika,8591000100055,3.0
Ochranná bariéra na ultrazvukovou sondu,Speciální pomůcky,8591000100056,130.0
Chirurgický plášť M (nepropustný),Ochranné pomůcky,8591000100057,290.0
Sada pro tracheotomii,ARO materiál,8591000100058,1400.0
Krycí rouška na mikroskop (sterilní),Rouškování,8591000100059,195.0
Speciální tampony pro neurochirurgii,Tampony a gáza,8591000100060,60.0
Ureterální stent (jednoráz.),Drény a katetry,8591000100061,2500.0
Koagulační nůžky (jednoráz.),Diatermie,8591000100062,2100.0
Laparoskopický disektor,Laparoskopie,8591000100063,2950.0
Skalpel s čepelí č. 11 (bodový),Instrumentárium,8591000100064,24.0
Gázové tampony bez RTG nitě (bal. 100ks),Tampony a gáza,8591000100065,70.0
IV kanyla (zelená G18),Injekční technika,8591000100066,15.0
Šicí materiál Ethibond 5 (nevstřebatelný),Šicí materiály,8591000100067,720.0
Set na odběr kostní dřeně,Speciální pomůcky,8591000100068,890.0
Silikonový laryngeální tubus,ARO materiál,8591000100069,690.0
Odpadní sáček na jehly (pevný),Ostatní,8591000100070,55.0
Laparoskopický irigační set,Laparoskopie,8591000100071,650.0
Krycí rouška na stůl (velká),Rouškování,8591000100072,110.0
Gázové obvazy (sterilní 10 cm),Tampony a gáza,8591000100073,18.0
Močový katetr s teplotní sondou,Drény a katetry,8591000100074,380.0
"Hemostatický klip (titanový, jednoráz. aplikátor)",Hemostyptika,8591000100075,1800.0
Jednorázový otoskop,ORL pomůcky,8591000100076,95.0
Chirurgické rukavice (Pár 9.0),Ochranné pomůcky,8591000100077,46.0
Šicí materiál Dacron 4/0 (pletený),Šicí materiály,8591000100078,650.0
Sada pro intraoseální přístup,Speciální pomůcky,8591000100079,1250.0
Dětská aspirační cévka,Odsávací systémy,8591000100080,70.0
Anesteziologický okruh (jednoráz.),ARO materiál,8591000100081,210.0
Skalpel s čepelí č. 20,Instrumentárium,8591000100082,23.0
IV kanyla (modrá G22),Injekční technika,8591000100083,13.0
Rouškovací set pro ortopedii (velký),Rouškování,8591000100084,1850.0
Endoskopická pinzeta na tělesa,Endoskopické pomůcky,8591000100085,1650.0
Jednorázová injekční stříkačka 2 ml,Injekční technika,8591000100086,2.5
Foley katetr s balonkem na 5 ml,Drény a katetry,8591000100087,210.0
Chirurgická čepice (prodloužená),Ochranné pomůcky,8591000100088,7.0
Jednorázový laryngoskop,ARO materiál,8591000100089,1100.0
Sterilní obličejový štít (jednoráz.),Ochranné pomůcky,8591000100090,55.0
Tkáňové lepidlo (kyanoakrylát),Hemostyptika,8591000100091,790.0
Set na artroskopii (základní),Speciální pomůcky,8591000100092,2900.0
Laparoskopické sání/irigace set,Laparoskopie,8591000100093,780.0
Krycí rouška na pacienta s otvorem,Rouškování,8591000100094,140.0
Hemostatický obvaz (speciální),Tampony a gáza,8591000100095,520.0
Skalpel na elektrokoagulaci,Diatermie,8591000100096,195.0
Chirurgické rukavice (Pár 6.5),Ochranné pomůcky,8591000100097,48.0
Šicí materiál Monocryl Plus 4/0 (antibakter.),Šicí materiály,8591000100098,630.0
Drenážní lahvička (jednoráz.),Drény a katetry,8591000100099,110.0
Injekční stříkačka 1 ml (tuberkulinová),Injekční technika,8591000100100,4.0
